title,category,nominee,artist,workers,img
42nd Annual GRAMMY Awards  (1999),Best Musical Album For Children,The Adventures Of Elmo In Grouchland,(Various Artists),,
42nd Annual GRAMMY Awards  (1999),Best Spoken Word Album For Children,Listen To The Storyteller,"Wynton Marsalis, Graham Greene & Kate Winslet",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Wynton%2BMarsalis/Wynton%2520Marsalis_1_1_1574344888.jpg?itok=edixUFuv
42nd Annual GRAMMY Awards  (1999),Best Spoken Word Album,"The Autobiography Of Martin Luther King, Jr.",LeVar Burton,,
42nd Annual GRAMMY Awards  (1999),Best Spoken Comedy Album,Bigger And Blacker,Chris Rock,"Chris Rock, artist.",
42nd Annual GRAMMY Awards  (1999),Best Musical Show Album,Annie Get Your Gun,,"Stephen Ferrera & John McDaniel, producers (The New Broadway Cast Including Bernadette Peters & Tom Wopat)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BMcDaniel/John%2520McDaniel_1_1_1575367277.jpg?itok=huWVguwV
42nd Annual GRAMMY Awards  (1999),Best Soundtrack Album,Tarzan,Phil Collins,"Phil Collins & Mark Mancina, producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/phil_collins_spotlight_615133032.png?itok=9Lls2sgv
42nd Annual GRAMMY Awards  (1999),"Best Instrumental Composition Written For A Motion Picture, Television Or Other Visual Media.",A Bug's Life,,"Randy Newman, composer (Randy Newman)",
42nd Annual GRAMMY Awards  (1999),"Best Song Written For A Motion Picture, Television Or Other Visual Media.",Beautiful Stranger (From Austin Powers - The Spy Who Shagged Me),"Madonna & William Orbit, songwriters (Madonna)",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/madonna-spotlight-109750521.png?itok=GGeN-wJK
42nd Annual GRAMMY Awards  (1999),Best Instrumental Composition,Joyful Noise Suite,,"Don Sebesky, composer (Don Sebesky)",
42nd Annual GRAMMY Awards  (1999),Best Instrumental Arrangement,Chelsea Bridge,,"Don Sebesky, arranger (Don Sebesky)",
42nd Annual GRAMMY Awards  (1999),Best Instrumental Arrangement Accompanying Vocalist(s),Lonely Town,,"Alan Broadbent, arranger (Charlie Haden Quartet West Featuring Shirley Horn)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Alan%2BBroadbent/Alan%2520Broadbent_1_1_1575365445.jpg?itok=Si8MQv4F
42nd Annual GRAMMY Awards  (1999),Best Recording Package,Ride With Bob,,"Ray Benson, Sally Carns & Buddy Jackson, art directors (Asleep At The Wheel)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ray%2BBenson/Ray%2520Benson_1_1_1575373139.jpg?itok=HdbM3LCL
42nd Annual GRAMMY Awards  (1999),Best Boxed Recording Package,Miles Davis - The Complete Bitches Brew Sessions,,"Ron Jaramillo & Arnold Levine, art directors (Miles Davis)",
42nd Annual GRAMMY Awards  (1999),Best Album Notes,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings,,"Bob Blumenthal, album notes writer (John Coltrane)",
42nd Annual GRAMMY Awards  (1999),Best Historical Album,The Duke Ellington Centennial Edition - The Complete RCA Victor Recordings (1927-1973),,"Orrin Keepnews & Steven Lasker, compilation producers; Paul Brizzi, Dennis Ferrante & Steven Lasker, mastering engineers (Duke Ellington)",
42nd Annual GRAMMY Awards  (1999),Best Engineered Album - Non-Classical,When I Look In Your Eyes,,"Al Schmitt, engineer (Diana Krall)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/alschmitt-spotlight-509785650.png?itok=w_EsLH1P
42nd Annual GRAMMY Awards  (1999),"Producer Of The Year, Non-Classical",Walter Afanasieff,,,
42nd Annual GRAMMY Awards  (1999),"Remixer Of The Year, Non-Classical",,,,
42nd Annual GRAMMY Awards  (1999),"Best Engineered Album, Classical",Stravinsky: Firebird; The Rite Of Spring; Perséphone,,"Markus Heiland, engineer (Michael Tilson Thomas, conductor)",
42nd Annual GRAMMY Awards  (1999),"Producer Of The Year, Classical",Adam Abeshouse,,,
42nd Annual GRAMMY Awards  (1999),Best Classical Album,Stravinsky: Firebird; The Rite Of Spring; Perséphone,,"Michael Tilson Thomas, artist; Andreas Neubronner, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Michael%2BTilson%2BThomas/Michael%2520Tilson%2520Thomas_1_1_1575368818.jpg?itok=he1ja-mb
42nd Annual GRAMMY Awards  (1999),Best Orchestral Performance,Stravinsky: Firebird; The Rite Of Spring; Perséphone,,"Michael Tilson Thomas, conductor (San Francisco Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Michael%2BTilson%2BThomas/Michael%2520Tilson%2520Thomas_1_1_1575368818.jpg?itok=he1ja-mb
42nd Annual GRAMMY Awards  (1999),Best Opera Recording,Stravinsky: The Rake's Progress,,"Ian Bostridge, Bryn Terfel, Anne Sofie von Otter & Deborah York; John Eliot Gardiner, conductor; Nicholas Parker, producer (Monteverdi Choir; London Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ian%2BBostridge/Ian%2520Bostridge_1_1_1575360132.jpg?itok=ZFldMSEg
42nd Annual GRAMMY Awards  (1999),Best Choral Performance,Britten: War Requiem,,"Robert Shafer, conductor (Maryland Boys Choir, Shenandoah Conservatory Chorus & Washington Choir)",
42nd Annual GRAMMY Awards  (1999),Best Instrumental Soloist(s) Performance (With Orchestra),Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3,,"Martha Argerich, artist (Orchestre Symphonie De Montréal)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Martha%2BArgerich/Martha%2520Argerich_1_1_1575374306.jpg?itok=RHfwK52I
42nd Annual GRAMMY Awards  (1999),Best Instrumental Soloist Performance (Without Orchestra),"Shostakovich: 24 Preludes & Fugues, Op. 87",,"Vladimir Ashkenazy, artist",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Vladimir%2BAshkenazy/Vladimir%2520Ashkenazy_1_1_1575373815.jpg?itok=sLttRDgn
42nd Annual GRAMMY Awards  (1999),Best Chamber Music Performance,"Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)",,"Anne-Sophie Mutter & Lambert Orkis, artists",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Anne-Sophie%2BMutter/Anne-Sophie%2520Mutter_1_1_1575370509.jpg?itok=ovUzRZx6
42nd Annual GRAMMY Awards  (1999),Best Small Ensemble Performance (With Or Without Conductor),"Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands",,,
42nd Annual GRAMMY Awards  (1999),Best Classical Vocal Performance,Mahler: Des Knaben Wunderhorn,,(Berliner Philharmonic),
42nd Annual GRAMMY Awards  (1999),Best Classical Contemporary Composition,Boulez: Répons,,"Pierre Boulez, composer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/pierre_boulez_spotlight_120091990.png?itok=veyvoMiu
42nd Annual GRAMMY Awards  (1999),Best Classical Crossover Album,"Schickele: Hornsmoke (Piano Concerto No. 2 In F Major ""Ole""; Brass Calendar; Hornsmoke - A Horse Opera)","Peter Schickele, narrator; The Chestnut Brass Company",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Peter%2BSchickele/Peter%2520Schickele_1_1_1575366810.jpg?itok=FsfyOPwm
42nd Annual GRAMMY Awards  (1999),Best Short Form Music Video,Freak On A Leash,Korn,"Jonathan Dayton, Valerie Faris, Todd McFarlane & Graham Morris, video directors; Terry Fitzgerald & Bart Lipton, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/korn-spotlight-491479230.png?itok=an2jFIGc
42nd Annual GRAMMY Awards  (1999),Best Long Form Music Video,Band Of Gypsys - Live At Fillmore East,(Jimi Hendrix),"Bob Smeaton, video director; Neil Aspinall & Chips Chipperfield, video producers",
41st Annual GRAMMY Awards  (1998),Record Of The Year,My Heart Will Go On (Love Theme From Titanic),Celine Dion,"Walter Afanasieff, Simon Franglen & James Horner, producers; Simon Franglen, Humberto Gatica & David Gleeson, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/celinedion-spotlight-585581910.png?itok=LMFf3NJ1
41st Annual GRAMMY Awards  (1998),Album Of The Year,The Miseducation Of Lauryn Hill,Lauryn Hill,"Lauryn Hill, producer; Comissioner Gordon, Matt Howe, Storm Jefferson, Ken Johnston, Tony Prendatt, Warren Riker, Chris Theis & Johnny Wydrycz, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/laurynhill-spotlight-459735960.png?itok=KsyXaL_u
41st Annual GRAMMY Awards  (1998),Song Of The Year,My Heart Will Go On (Love Theme From Titanic),,"James Horner & Will Jennings, songwriters (Celine Dion)",
41st Annual GRAMMY Awards  (1998),Best New Artist,Lauryn Hill,,,
41st Annual GRAMMY Awards  (1998),Best Female Pop Vocal Performance,My Heart Will Go On (Love Theme From Titanic),Celine Dion,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/celinedion-spotlight-585581910.png?itok=LMFf3NJ1
41st Annual GRAMMY Awards  (1998),Best Male Pop Vocal Performance,My Father's Eyes,Eric Clapton,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/ericclapton-spotlight-117975977.png?itok=GeJJChLu
41st Annual GRAMMY Awards  (1998),Best Pop Performance By A Duo Or Group With Vocal,Jump Jive An' Wail,The Brian Setzer Orchestra,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brian%2BSetzer/Brian%2520Setzer_1_1_1575369697.jpg?itok=qfOk8pUT
41st Annual GRAMMY Awards  (1998),Best Pop Collaboration With Vocals,I Still Have That Other Girl,Elvis Costello & Burt Bacharach,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Elvis%2BCostello/Elvis%2520Costello_1_1_1575366015.jpg?itok=cvP3TrOB
41st Annual GRAMMY Awards  (1998),Best Pop Instrumental Performance,Sleepwalk,The Brian Setzer Orchestra,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brian%2BSetzer/Brian%2520Setzer_1_1_1575369697.jpg?itok=qfOk8pUT
41st Annual GRAMMY Awards  (1998),Best Dance Recording,Ray Of Light,Madonna,"Madonna & William Orbit, producers; Pat McCarthy, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/madonna-spotlight-109750521.png?itok=GGeN-wJK
41st Annual GRAMMY Awards  (1998),Best Pop Album,Ray Of Light,Madonna,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/madonna-spotlight-109750521.png?itok=GGeN-wJK
41st Annual GRAMMY Awards  (1998),Best Traditional Pop Vocal Performance,Live At Carnegie Hall - The 50th Anniversary Concert,Patti Page,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Patti%2BPage/Patti%2520Page_1_1_1575364038.jpg?itok=nFY9UJ5P
41st Annual GRAMMY Awards  (1998),Best Female Rock Vocal Performance,Uninvited,Alanis Morissette,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/alanismorissette_spotlight-156952963.png?itok=gI7MzJVn
41st Annual GRAMMY Awards  (1998),Best Male Rock Vocal Performance,Fly Away,Lenny Kravitz,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lenny%2BKravitz/Lenny%2520Kravitz_1_1_1576289573.jpg?itok=AHYI3XcC
41st Annual GRAMMY Awards  (1998),Best Rock Performance By A Duo Or Group With Vocal,Pink,Aerosmith,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/aerosmith-spotlight-155268899.png?itok=PM9mURgV
41st Annual GRAMMY Awards  (1998),Best Hard Rock Performance,Most High,Jimmy Page & Robert Plant,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jimmy%2BPage/Jimmy%2520Page_1_1_1575370355.jpg?itok=HXJhCTJH
41st Annual GRAMMY Awards  (1998),Best Metal Performance,Better Than You,Metallica,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/metallica-spotlight-624003876.png?itok=sf7ekRfc
41st Annual GRAMMY Awards  (1998),Best Rock Instrumental Performance,The Roots Of Coincidence,Pat Metheny Group,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Pat%2BMetheny%2BGroup/Pat%2520Metheny%2520Group_1_1_1575360637.jpg?itok=XGeWolOw
41st Annual GRAMMY Awards  (1998),Best Rock Song,Uninvited,,"Alanis Morissette, songwriter (Alanis Morissette)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/alanismorissette_spotlight-156952963.png?itok=gI7MzJVn
41st Annual GRAMMY Awards  (1998),Best Rock Album,The Globe Sessions,Sheryl Crow,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/sheryl_crow_spotlight_669939652.png?itok=r0xiV5mP
41st Annual GRAMMY Awards  (1998),Best Alternative Music Performance,Hello Nasty,Beastie Boys,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Beastie%2BBoys/Beastie%2520Boys_1_1_1575359161.jpg?itok=w3Sud-IR
41st Annual GRAMMY Awards  (1998),Best Female R&B Vocal Performance,Doo Wop (That Thing),Lauryn Hill,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/laurynhill-spotlight-459735960.png?itok=KsyXaL_u
41st Annual GRAMMY Awards  (1998),Best Male R&B Vocal Performance,St. Louis Blues,Stevie Wonder,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/stevie_wonder_spotlight_679944700.png?itok=B9CVfELw
41st Annual GRAMMY Awards  (1998),Best R&B Performance By A Duo Or Group With Vocal,The Boy Is Mine,Brandy & Monica,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brandy/Brandy_1_1_1574344264.jpg?itok=FNYSnPpo
41st Annual GRAMMY Awards  (1998),Best Rhythm & Blues Song,Doo Wop (That Thing),,"Lauryn Hill, songwriter (Lauryn Hill)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/laurynhill-spotlight-459735960.png?itok=KsyXaL_u
41st Annual GRAMMY Awards  (1998),Best R&B Album,The Miseducation Of Lauryn Hill,Lauryn Hill,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/laurynhill-spotlight-459735960.png?itok=KsyXaL_u
41st Annual GRAMMY Awards  (1998),Best Traditional R&B Vocal Performance,Live! - One Night Only,Patti LaBelle,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Patti%2BLaBelle/Patti%2520LaBelle_1_1_1576330328.jpg?itok=6M0aQLOG
41st Annual GRAMMY Awards  (1998),Best Rap Solo Performance,Gettin' Jiggy Wit It,Will Smith,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Will%2BSmith/Will%2520Smith_1_1_1575369048.jpg?itok=C4PArDt7
41st Annual GRAMMY Awards  (1998),Best Rap Performance By A Duo Or Group,Intergalactic,Beastie Boys,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Beastie%2BBoys/Beastie%2520Boys_1_1_1575359161.jpg?itok=w3Sud-IR
41st Annual GRAMMY Awards  (1998),Best Rap Album,Vol. 2...Hard Knock Life,Jay-Z,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/jayz-spotlight.png?itok=kH-ODA6Q
41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,You're Still The One,Shania Twain,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shania%2BTwain/Shania%2520Twain_1_1_1575368716.jpg?itok=9HFmFNwn
41st Annual GRAMMY Awards  (1998),Best Male Country Vocal Performance,If You Ever Have Forever In Mind,Vince Gill,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/vince_gill_spotlight_635353046.png?itok=CmJhSE3m
41st Annual GRAMMY Awards  (1998),Best Country Performance By A Duo Or Group With Vocal,There's Your Trouble,Dixie Chicks,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/dixiechicks-spotlight-532423810.png?itok=nnqluNex
41st Annual GRAMMY Awards  (1998),Best Country Collaboration With Vocals,Same Old Train,"Clint Black, Joe Diffie, Merle Haggard, Emmylou Harris, Alison Krauss, Patty Loveless, Earl Scruggs, Ricky Skaggs, Marty Stuart, Pam Tillis, Randy Travis, Travis Tritt & Dwight Yoakam",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Clint%2BBlack/Clint%2520Black_1_1_1575365458.jpg?itok=4pa0zX6g
41st Annual GRAMMY Awards  (1998),Best Country Instrumental Performance,A Soldier's Joy,Randy Scruggs & Vince Gill,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/vince_gill_spotlight_635353046.png?itok=CmJhSE3m
41st Annual GRAMMY Awards  (1998),Best Country Song,You're Still The One,,"Robert John ""Mutt"" Lange & Shania Twain, songwriters (Shania Twain)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shania%2BTwain/Shania%2520Twain_1_1_1575368716.jpg?itok=9HFmFNwn
41st Annual GRAMMY Awards  (1998),Best Country Album,Wide Open Spaces,Dixie Chicks,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/dixiechicks-spotlight-532423810.png?itok=nnqluNex
41st Annual GRAMMY Awards  (1998),Best Bluegrass Album,Bluegrass Rules!,Ricky Skaggs & Kentucky Thunder,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ricky%2BSkaggs/Ricky%2520Skaggs_1_1_1575369495.jpg?itok=t0-3rp1V
41st Annual GRAMMY Awards  (1998),Best New Age Album,Landmarks,Clannad,,
41st Annual GRAMMY Awards  (1998),Best Contemporary Jazz Performance,Imaginary Day,Pat Metheny Group,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Pat%2BMetheny%2BGroup/Pat%2520Metheny%2520Group_1_1_1575360637.jpg?itok=XGeWolOw
41st Annual GRAMMY Awards  (1998),Best Jazz Vocal Performance,I Remember Miles,Shirley Horn,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shirley%2BHorn/Shirley%2520Horn_1_1_1575371561.jpg?itok=CnfFIqJ_
41st Annual GRAMMY Awards  (1998),Best Jazz Instrumental Solo,Rhumbata,,"Gary Burton & Chick Corea, soloists",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Gary%2BBurton/Gary%2520Burton_1_1_1575373329.jpg?itok=DnpUyewI
41st Annual GRAMMY Awards  (1998),"Best Jazz Instrumental Performance, Individual Or Group",Gershwin's World,Herbie Hancock,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/herbiehancock-spotlight-621417530.png?itok=IQZGCMxW
41st Annual GRAMMY Awards  (1998),Best Large Jazz Ensemble Performance,Count Plays Duke,"Count Basie Orchestra; Grover Mitchell, director",,
41st Annual GRAMMY Awards  (1998),Best Latin Jazz Performance,Hot House,Arturo Sandoval,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Arturo%2BSandoval/Arturo%2520Sandoval_1_1_1575363760.jpg?itok=-MlzqU5E
41st Annual GRAMMY Awards  (1998),Best Rock Gospel Album,You Are There,Ashley Cleveland,,
41st Annual GRAMMY Awards  (1998),Best Pop/Contemporary Gospel Album,This Is My Song,Deniece Williams,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Deniece%2BWilliams/Deniece%2520Williams_1_1_1575359216.jpg?itok=TyJiil0O
41st Annual GRAMMY Awards  (1998),"Best Southern, Country, Or Bluegrass Gospel Album",The Apostle - Soundtrack,(Various Artists),,
41st Annual GRAMMY Awards  (1998),Best Traditional Soul Gospel Album,He Leadeth Me,Cissy Houston,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Cissy%2BHouston/Cissy%2520Houston_1_1_1575364011.jpg?itok=nXIBCW8S
41st Annual GRAMMY Awards  (1998),Best Contemporary Soul Gospel Album,The Nu Nation Project,Kirk Franklin,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/kirkfranklin-spotlight-138820291.png?itok=ZJXEM-lN
41st Annual GRAMMY Awards  (1998),Best Gospel Choir Or Chorus Album,Reflections,,"O'Landa Draper, choir director (O'Landa Draper & The Associates Choir)",
41st Annual GRAMMY Awards  (1998),Best Latin Pop Performance,Vuelve,Ricky Martin,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/ricky_martin_spotlight_644693362.png?itok=cucfiL9z
41st Annual GRAMMY Awards  (1998),Best Latin Rock/Alternative Performance,Sueños Liquidos,Maná,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Mana/Mana_1_1_1575368040.jpg?itok=6Jvxdo_F
41st Annual GRAMMY Awards  (1998),Best Tropical Latin Performance,Contra La Corriente,Marc Anthony,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Marc%2BAnthony/Marc%2520Anthony_1_1_1574345215.jpg?itok=mXCvrNRm
41st Annual GRAMMY Awards  (1998),Best Mexican-American Music Performance,Los Super Seven,Los Super Seven,,
41st Annual GRAMMY Awards  (1998),Best Tejano Music Performance,Said And Done,Flaco Jimenez,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Flaco%2BJimenez/Flaco%2520Jimenez_1_1_1575372063.jpg?itok=1zxPEOLk
41st Annual GRAMMY Awards  (1998),Best Traditional Blues Album,Any Place I'm Going,Otis Rush,,
41st Annual GRAMMY Awards  (1998),Best Contemporary Blues Album,Slow Down,Keb' Mo',,https://www.grammy.com/sites/com/files/styles/artist_circle/public/kebmo-spotlight-459262584.png?itok=TBOHfvcL
41st Annual GRAMMY Awards  (1998),Best Traditional Folk Album,Long Journey Home,The Chieftains,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BChieftains/The%2520Chieftains_1_1_1575368241.jpg?itok=SfeE81o2
41st Annual GRAMMY Awards  (1998),Best Contemporary Folk Album,Car Wheels On A Gravel Road,Lucinda Williams,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lucinda%2BWilliams/Lucinda%2520Williams_1_1_1575368490.jpg?itok=luRZrabW
41st Annual GRAMMY Awards  (1998),Best Reggae Album,Friends,Sly And Robbie,,
41st Annual GRAMMY Awards  (1998),Best World Music Album,Quanta Live,Gilberto Gil,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Gilberto%2BGil/Gilberto%2520Gil_1_1_1575372348.jpg?itok=3RaCWKGS
41st Annual GRAMMY Awards  (1998),Best Polka Album,Dance With Me,Jimmy Sturr & His Orchestra,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/jimmysturr-spotlight-1811391.png?itok=r7dhn8W5
41st Annual GRAMMY Awards  (1998),Best Musical Album For Children,Elmopalooza!,(The Sesame Street Muppets & Various Artists),,
41st Annual GRAMMY Awards  (1998),Best Spoken Word Album For Children,The Children's Shakespeare,(Various Artists),,
41st Annual GRAMMY Awards  (1998),Best Spoken Word Album,Still Me,Christopher Reeve,,
41st Annual GRAMMY Awards  (1998),Best Spoken Comedy Album,The 2000 Year Old Man In The Year 2000,Mel Brooks & Carl Reiner,"Carl Reiner & Mel Brooks, artists.",
41st Annual GRAMMY Awards  (1998),Best Musical Show Album,The Lion King,,"Mark Mancina, producer (Original Broadway Cast Recording)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Mark%2BMancina/Mark%2520Mancina_1_1_1575365281.jpg?itok=u7E8Jnj9
41st Annual GRAMMY Awards  (1998),Best Instrumental Composition,Almost 12,,"Béla Fleck, Future Man & Victor Lemonte Wooten, composers (Béla Fleck & The Flecktones)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/belafleck-spotlight-126317688.png?itok=4g9Qs-em
41st Annual GRAMMY Awards  (1998),Best Instrumental Composition Written For A Motion Picture Or For Television,Saving Private Ryan,,"John Williams, composer (John Williams)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/johnwilliams-spotlight-539137396.png?itok=g9wO-Yx9
41st Annual GRAMMY Awards  (1998),Best Song Written For A Motion Picture Or For Television,My Heart Will Go On (Love Theme From Titanic),"James Horner & Will Jennings, songwriters (Celine Dion)",,
41st Annual GRAMMY Awards  (1998),Best Instrumental Arrangement,Waltz For Debby,,"Don Sebesky, arranger (Don Sebesky)",
41st Annual GRAMMY Awards  (1998),Best Instrumental Arrangement Accompanying Vocal(s),St. Louis Blues,,"Herbie Hancock, Robert Sadin & Stevie Wonder, arrangers (Herbie Hancock)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/herbiehancock-spotlight-621417530.png?itok=IQZGCMxW
41st Annual GRAMMY Awards  (1998),Best Recording Package,Ray Of Light,,"Kevin Reagan, art director (Madonna)",
41st Annual GRAMMY Awards  (1998),Best Boxed Recording Package,The Complete Hank Williams,,"Jim Kemp & Virginia Team, art directors (Hank Williams)",
41st Annual GRAMMY Awards  (1998),Best Album Notes,Miles Davis Quintet 1965-1968,,"Bob Belden, Todd Coolman & Michael Cuscuna, album notes writers (Miles Davis Quintet)",
41st Annual GRAMMY Awards  (1998),Best Historical Album,The Complete Hank Williams,,"Colin Escott, Kira Florita & Kyle Young, compilation producers; Joseph M. Palmaccio & Tom Ruff, mastering engineers (Hank Williams)",
41st Annual GRAMMY Awards  (1998),Best Engineered Album - Non-Classical,The Globe Sessions,,"Tchad Blake, Trina Shoemaker & Andy Wallace, engineers (Sheryl Crow)",
41st Annual GRAMMY Awards  (1998),"Producer Of The Year, Non-Classical",Rob Cavallo,,,
41st Annual GRAMMY Awards  (1998),"Remixer Of The Year, Non-classical",,,,
41st Annual GRAMMY Awards  (1998),"Best Engineered Album, Classical",Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,,"Jack Renner, engineer (Robert Shaw, conductor)",
41st Annual GRAMMY Awards  (1998),"Producer Of The Year, Classical",Steven Epstein,,,
41st Annual GRAMMY Awards  (1998),Best Classical Album,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,,"Robert Shaw, artist; James Mallinson, producer",
41st Annual GRAMMY Awards  (1998),Best Orchestral Performance,Mahler: Symphony No. 9,,"Pierre Boulez, conductor (Chicago Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/pierre_boulez_spotlight_120091990.png?itok=veyvoMiu
41st Annual GRAMMY Awards  (1998),Best Opera Recording,Bartók: Bluebeard's Castle,,"Jessye Norman & Laszlo Polgar; Pierre Boulez, conductor; Karl-August Naegler, producer (Chicago Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/pierre_boulez_spotlight_120091990.png?itok=veyvoMiu
41st Annual GRAMMY Awards  (1998),Best Choral Performance,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,,"Robert Shaw, conductor (Atlanta Symphony Chorus; Atlanta Symphony Orchestra)",
41st Annual GRAMMY Awards  (1998),Best Instrumental Soloist(s) Performance (With Orchestra),"Penderecki: Violin Concerto No. 2 ""Metamorphosen""",,"Anne-Sophie Mutter, artist (London Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Anne-Sophie%2BMutter/Anne-Sophie%2520Mutter_1_1_1575370509.jpg?itok=ovUzRZx6
41st Annual GRAMMY Awards  (1998),Best Instrumental Soloist Performance (Without Orchestra),"Bach: English Suites Nos. 1, 3 & 6",,"Murray Perahia, artist",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Murray%2BPerahia/Murray%2520Perahia_1_1_1576371919.jpg?itok=GgJEmT9S
41st Annual GRAMMY Awards  (1998),Best Chamber Music Performance,"American Scenes - Works Of Copland, Previn, Barber & Gershwin",,"Andre Previn & Gil Shaham, artists",https://www.grammy.com/sites/com/files/styles/artist_circle/public/andreprevin-spotlight-541547177.png?itok=It63Jlcm
